Id,Label,Weight
Mr. Darcy,Mr. Darcy,396
Mr. Bingley,Mr. Bingley,199
Elizabeth,Elizabeth,786
Miss Bingley,Miss Bingley,84
Lydia,Lydia,160
Catherine,Catherine,222
Mary,Mary,193
Georgiana,Georgiana,14
Collins,Collins,273
Charlotte,Charlotte,667
Mr. Wickham,Mr. Wickham,64
Miss de Bourgh,Miss de Bourgh,20
Mr. Bennet,Mr. Bennet,74
Mrs. Bennet,Mrs. Bennet,128
Jane,Jane,308
Louisa,Louisa,6
Mr. Hurst,Mr. Hurst,11
Lucases,Lucases,13
Miss Lucas,Miss Lucas,26
Sir William,Sir William,42
Mrs. Gardiner,Mrs. Gardiner,42
Mr. Gardiner,Mr. Gardiner,28
Mr. Phillips,Mr. Phillips,4
Mrs. Phillips,Mrs. Phillips,17
Fitzwilliam,Fitzwilliam,33
Colonel Forster,Colonel Forster,27
Mrs. Forster,Mrs. Forster,11
Mr. Jones,Mr. Jones,5
Lady Catherine,Lady Catherine,111
